sub_begin_time|sub_end_time|text|class
00:00:00|00:00:09|<st> [Music]|A
00:00:06|00:00:11|this video is sponsored by Squarespace|A
00:00:09|00:00:13|whether you need a domain website or|A
00:00:11|00:00:15|online store make it with Squarespace I|A
00:00:13|00:00:17|mentioned in passing in a previous video|NA
00:00:15|00:00:20|that I could get a good laminar flow|NA
00:00:17|00:00:21|from my kitchen taps which is nice but I|NA
00:00:20|00:00:22|also noticed something really strange|NA
00:00:21|00:00:24|recently|NA
00:00:22|00:00:27|not just from this particular kitchen|NA
00:00:24|00:00:29|tap but from any laminar flow really|NA
00:00:27|00:00:31|coming from a faucet what's this look|NA
00:00:29|00:00:34|what happens when I put my finger into|NA
00:00:31|00:00:40|the stream of water I got these ripples|NA
00:00:34|00:00:47|above my finger look as I move my finger|NA
00:00:40|00:00:50|down the ripples get tighter get broader|NA
00:00:47|00:00:51|strange my kitchen isn't the best|NA
00:00:50|00:00:53|environment to investigate this sort of|NA
00:00:51|00:00:55|phenomena so I set something up in my|NA
00:00:53|00:00:56|studio I really wanted to see if we can|NA
00:00:55|00:00:58|figure out where these ripples come from|NA
00:00:56|00:01:01|but I also wanted to capture a really|NA
00:00:58|00:01:02|good example of it the first thing you|NA
00:01:01|00:01:05|need is you need that flow of water to|NA
00:01:02|00:01:08|be really stable really consistent I|NA
00:01:05|00:01:10|managed to achieve that with this funnel|NA
00:01:08|00:01:12|and just some cloth over the bottom of|NA
00:01:10|00:01:13|it you get this beautiful laminar flow|NA
00:01:12|00:01:14|from this setup|NA
00:01:13|00:01:20|a lot of other considerations as well|NA
00:01:14|00:01:22|but let's just see what we got it's not|NA
00:01:20|00:01:25|amazing as soon as the obstruction goes|NA
00:01:22|00:01:27|in those standing waves just suddenly|NA
00:01:25|00:01:30|appear it seems like further downstream|NA
00:01:27|00:01:33|the the ripples are tighter and then as|NA
00:01:30|00:01:36|you move up the stream they get wider|NA
00:01:33|00:01:39|look at this so cool is that a standing|NA
00:01:36|00:01:41|wave what is it I also noticed that|NA
00:01:39|00:01:42|there are sweet spots like if the|NA
00:01:41|00:01:46|obstruction isn't in quite the right|NA
00:01:42|00:01:49|place you get these vibrations but one|NA
00:01:46|00:01:50|of these reports come from well for one|NA
00:01:49|00:01:52|thing you definitely need laminar flow|NA
00:01:50|00:01:53|I've mentioned that a couple of times|NA
00:01:52|00:01:55|I've not really said what it is but|NA
00:01:53|00:01:58|imagine this imagine you've got a column|NA
00:01:55|00:02:00|of water like we have and it's all|NA
00:01:58|00:02:02|streaming downwards but the water is|NA
00:02:00|00:02:04|traveling at different speeds so maybe|NA
00:02:02|00:02:06|on the inside the water is traveling|NA
00:02:04|00:02:09|more quickly than on the outside and|NA
00:02:06|00:02:11|with laminar flow you don't have any|NA
00:02:09|00:02:14|interaction between those layers of|NA
00:02:11|00:02:18|different speed they just kind of slide|NA
00:02:14|00:02:19|past each other if water was transferred|NA
00:02:18|00:02:20|between those layers|NA
00:02:19|00:02:22|of different speeds then you'd end up|NA
00:02:20|00:02:24|with turbulent flow which is like the|NA
00:02:22|00:02:27|opposite of laminar flow you can see it|NA
00:02:24|00:02:31|really well with the smoke from a candle|NA
00:02:27|00:02:32|so to begin with the smoke rises through|NA
00:02:31|00:02:34|the still air around it but doesn't|NA
00:02:32|00:02:37|interact with it at all but eventually|NA
00:02:34|00:02:40|it catches if you like on the air around|NA
00:02:37|00:02:43|it and creates these turbulent spinning|NA
00:02:40|00:02:44|twisting motions I've done a bit of|NA
00:02:43|00:02:46|research and there doesn't seem to be|NA
00:02:44|00:02:49|much literature around these ripples|NA
00:02:46|00:02:49|above an obstruction but I have found a|NA
00:02:49|00:02:52|clue|NA
00:02:49|00:02:54|and that cure is the Rayleigh plateau|NA
00:02:52|00:02:56|instability which is a fancy name for|NA
00:02:54|00:02:59|something you've probably seen many|NA
00:02:56|00:03:02|times before if you turn your tap down|NA
00:02:59|00:03:04|until it's just a fine stream eventually|NA
00:03:02|00:03:06|you'll see it breaking into droplets and|NA
00:03:04|00:03:09|that moment that it breaks into droplets|NA
00:03:06|00:03:10|that's Rayleigh plateau instability but|NA
00:03:09|00:03:12|the cool thing is if you take a|NA
00:03:10|00:03:13|freeze-frame of that happening it looks|NA
00:03:12|00:03:15|like this|NA
00:03:13|00:03:17|look at those ripples very similar to|NA
00:03:15|00:03:19|what we're getting here interesting|NA
00:03:17|00:03:21|application of the Rayleigh plateau|NA
00:03:19|00:03:23|instability is if you've got a jet of|NA
00:03:21|00:03:25|fluid hitting a surface and you want to|NA
00:03:23|00:03:28|reduce splash back simply reduce the|NA
00:03:25|00:03:32|distance to the surface until you remove|NA
00:03:28|00:03:33|all instability but why is it that you|NA
00:03:32|00:03:35|can only see those ripples in|NA
00:03:33|00:03:37|freeze-frame you can't see them with the|NA
00:03:35|00:03:38|naked eye it's because they're moving|NA
00:03:37|00:03:41|around they're moving up and down the|NA
00:03:38|00:03:44|stream as time goes on it's too fast for|NA
00:03:41|00:03:47|you to see so maybe when you're struck|NA
00:03:44|00:03:49|the flow of the stream you're generating|NA
00:03:47|00:03:51|the ripples at that point but you're|NA
00:03:49|00:03:54|fixing them in space somehow I've got a|NA
00:03:51|00:03:56|theory for how that might happen but|NA
00:03:54|00:03:58|where are the ripples come from in the|NA
00:03:56|00:04:00|first place in the Riley plateau|NA
00:03:58|00:04:03|instability well there is literature on|NA
00:04:00|00:04:04|that and it's all to do with surface|NA
00:04:03|00:04:07|tension you can think of the surface|NA
00:04:04|00:04:09|tension of water as like an elastic|NA
00:04:07|00:04:13|property that the water has on its|NA
00:04:09|00:04:14|surface so how's it gonna behave wait|NA
00:04:13|00:04:16|think about an elastic band mean you|NA
00:04:14|00:04:18|stretched an elastic band it pulls|NA
00:04:16|00:04:21|itself in an elastic band tries to|NA
00:04:18|00:04:23|minimize its length and it's similar|NA
00:04:21|00:04:27|with elastic surfaces they try to|NA
00:04:23|00:04:30|minimize their area and this is also|NA
00:04:27|00:04:30|true of soap film so when you blow a|NA
00:04:30|00:04:33|bubble|NA
00:04:30|00:04:36|it encapsulates a|NA
00:04:33|00:04:38|volume of air and it slowly kind of|NA
00:04:36|00:04:40|wobbles into its preferred shape which|NA
00:04:38|00:04:43|of course is a sphere because a sphere|NA
00:04:40|00:04:46|is the lowest surface area that can|NA
00:04:43|00:04:50|enclose a given volume and it's also why|NA
00:04:46|00:04:53|droplets of water forms spheres but what|NA
00:04:50|00:04:54|does this mean for a column of water|NA
00:04:53|00:04:57|like we have here well we can actually|NA
00:04:54|00:05:00|model it with soap film how does a|NA
00:04:57|00:05:03|cylindrical soap film minimize its|NA
00:05:00|00:05:05|surface area look as the sender grows in|NA
00:05:03|00:05:08|height the soap film starts to bow|NA
00:05:05|00:05:10|inwards this is always the minimum|NA
00:05:08|00:05:11|surface area if it was more pinched to|NA
00:05:10|00:05:13|the surface air would be greater if it|NA
00:05:11|00:05:16|was less pinched the surface air would|NA
00:05:13|00:05:19|be greater as well and as the cylinder|NA
00:05:16|00:05:22|grows in height that bowing inwards|NA
00:05:19|00:05:24|grows more pronounced anyway it gets to|NA
00:05:22|00:05:28|the point where it pinches all the way|NA
00:05:24|00:05:30|in and it separates into two separate|NA
00:05:28|00:05:32|soap films a bit like the formation of a|NA
00:05:30|00:05:35|droplet of water how does that apply to|NA
00:05:32|00:05:37|a column of water like why do the|NA
00:05:35|00:05:39|ripples appear in the particular|NA
00:05:37|00:05:43|location that they appear and why are|NA
00:05:39|00:05:46|they the size that they are well the|NA
00:05:43|00:05:49|ripples grow from tiny perturbations in|NA
00:05:46|00:05:52|the otherwise very smooth flow of water|NA
00:05:49|00:05:55|and they grow like this imagine that|NA
00:05:52|00:05:58|you've got some ripples that are kind of|NA
00:05:55|00:06:00|sinusoidal so you've got some pinch|NA
00:05:58|00:06:03|points and you've got some bulge points|NA
00:06:00|00:06:06|like this and here's an interesting fact|NA
00:06:03|00:06:10|about elastic surfaces if an elastic|NA
00:06:06|00:06:14|surface is tightly curved then the|NA
00:06:10|00:06:17|pressure inside will be great whereas if|NA
00:06:14|00:06:20|the elastic surface is loosely curved|NA
00:06:17|00:06:24|the pressure inside will be less and you|NA
00:06:20|00:06:26|can apply that to these bulges here so|NA
00:06:24|00:06:29|look at the neck here you've got a tight|NA
00:06:26|00:06:31|lid curved elastic surface so the|NA
